number,genname,busname,Pmin,Pmax,minON,minOFF,Gen_Type,InitStatus,InitHour,InitPow,SUCost,SDCost,No_Load_Cost,Ramp_Rate,SUTime,SDTime,Cost1,MW1,Cost2,MW2,Cost3,MW3,Cost4,MW4,Ri,PFR_up_Flag,PFR_dn_Flag,AGC_up_Flag,AGC_dn_Flag,Spin_Flag,NonSpin_Flag,PFR_up_Price,PFR_dn_Price,AGC_up_Price,AGC_dn_Price,Spin_Price,NonSpin_Price,Must_Run,Flexibility,RTPlanCommit
46,DPV15,155,0,0.655,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.655,0,0.655,0,0.655,0,0.655,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
47,DPV16,173,0,0.637,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.637,0,0.637,0,0.637,0,0.637,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
48,DPV17,174,0,0.207,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.207,0,0.207,0,0.207,0,0.207,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
49,DPV18,175,0,0.525,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.525,0,0.525,0,0.525,0,0.525,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
50,DPV19,192,0,1.118,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.118,0,1.118,0,1.118,0,1.118,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
51,DPV20,203,0,7.533,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,7.533,0,7.533,0,7.533,0,7.533,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
52,DPV21,204,0,1.496,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.496,0,1.496,0,1.496,0,1.496,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
53,DPV22,205,0,2.667,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,2.667,0,2.667,0,2.667,0,2.667,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
54,DPV23,209,0,0.066,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,0.066,0,0.066,0,0.066,0,0.066,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
55,DPV24,216,0,1.824,0,0,PV-1,1,24,0,0,0,0,2,0,0,0,1.824,0,1.824,0,1.824,0,1.824,0.002,0,0,0,0,1,1,0.001,0.001,0.001,0.001,0.01,0.01,0,0,1
